# Descargado de la página www.ine.es (Encuesta de población activa)
# Ocupados (en miles de personas, por trimestre)
Periodo	Núm. de gente con trabajo(en miles)
2022T1	20.084,7
2021T4	20.184,9
2021T3	20.031,0
2021T2	19.671,7
2021T1	19.206,8
2020T4	19.344,3
2020T3	19.176,9
2020T2	18.607,2
2020T1	19.681,3
2019T4	19.966,9
2019T3	19.874,3
2019T2	19.804,9
2019T1	19.471,1
2018T4	19.564,6
2018T3	19.528,0
2018T2	19.344,1
2018T1	18.874,2
2017T4	18.998,4
2017T3	19.049,2
2017T2	18.813,3
2017T1	18.438,3
2016T4	18.508,1
2016T3	18.527,5
2016T2	18.301,0
2016T1	18.029,6
2015T4	18.094,2
2015T3	18.048,7
2015T2	17.866,5
2015T1	17.454,8
2014T4	17.569,1
2014T3	17.504,0
2014T2	17.353,0
2014T1	16.950,6
2013T4	17.135,2
2013T3	17.230,0
2013T2	17.160,6
2013T1	17.030,2
2012T4	17.339,4
2012T3	17.667,7
2012T2	17.758,5
2012T1	17.765,1
2011T4	18.153,0
2011T3	18.484,5
2011T2	18.622,0
2011T1	18.426,2
2010T4	18.674,9
2010T3	18.819,0
2010T2	18.751,1
2010T1	18.652,9
2009T4	18.890,4
2009T3	19.098,4
2009T2	19.154,2
2009T1	19.284,4
2008T4	20.055,3
2008T3	20.556,4
2008T2	20.646,9
2008T1	20.620,0
2007T4	20.717,9
2007T3	20.753,4
2007T2	20.580,9
2007T1	20.267,5
2006T4	20.195,4
2006T3	20.091,0
2006T2	19.891,6
2006T1	19.578,4
2005T4	19.509,2
2005T3	19.422,1
2005T2	19.160,6
2005T1	18.736,1
2004T4	18.490,8
2004T3	18.289,1
2004T2	18.018,9
2004T1	17.770,2
2003T4	17.740,5
2003T3	17.646,0
2003T2	17.423,2
2003T1	17.092,7
2002T4	16.991,9
2002T3	16.919,3
2002T2	16.766,9
2002T1	16.482,3
